14,34,2,50,80,15,10,32,40,60,45,metro
14,52,1,40,45,15,10,36,45,60,45,metro
14,50,2,35,40,15,10,21,34,55,40,park-and-ride
14,44,1,50,35,15,20,40,35,25,20,bus
14,61,1,30,18,15,10,16,34,50,34,bus
14,44,2,20,12,10,5,12,26,45,30,metro
14,27,3,45,55,15,10,26,35,50,40,park-and-ride
14,54,2,50,40,20,10,28,45,60,45,park-and-ride
14,43,3,40,22,10,5,22,36,55,36,car
14,61,3,40,22,10,5,23,38,60,38,metro
15,52,2,60,55,15,10,32,43,60,45,park-and-ride
15,37,2,60,65,20,15,33,48,65,48,park-and-ride
15,52,1,65,70,15,10,37,57,70,57,bus
17,20,3,55,45,20,25,60,55,40,35,car
15,46,2,45,55,15,10,25,40,55,40,metro
15,65,3,60,30,15,10,32,40,60,47,park-and-ride
15,61,1,30,20,5,10,55,25,30,35,bus
15,38,2,50,27,15,10,27,43,60,43,metro
15,34,3,35,19,10,5,18,28,45,28,park-and-ride
15,50,1,45,24,15,15,25,43,55,43,bus
15,51,3,40,22,10,10,24,39,55,39,car
15,55,3,55,45,15,15,24,36,55,40,car
16,67,1,30,17,10,5,15,34,50,34,bus
16,67,2,60,65,20,15,40,55,70,55,metro
16,43,3,40,22,15,15,23,40,55,40,metro
16,62,2,20,15,10,5,11,30,45,30,metro
16,36,2,60,31,15,10,33,52,70,55,bus
16,64,1,70,36,20,15,38,45,60,45,metro
16,56,2,40,23,10,5,24,25,45,30,car
16,33,3,40,21,10,5,21,32,50,32,car
16,65,3,65,35,20,15,37,57,65,57,park-and-ride
16,36,3,25,14,10,5,13,32,45,32,bus
16,63,1,40,22,10,5,24,34,60,34,car
16,43,2,40,22,10,5,22,40,55,40,metro
16,34,2,60,32,20,10,32,49,65,50,car
17,51,2,20,11,10,5,12,23,40,25,bus
17,39,1,35,19,15,10,19,30,50,35,metro
17,27,1,25,13,10,5,14,34,50,34,metro
17,26,2,55,28,15,10,31,45,60,45,metro
17,52,1,65,35,20,15,37,48,60,48,bus
17,49,2,30,17,13,10,18,32,45,32,car
17,44,2,60,32,20,15,32,44,55,44,car
17,38,3,20,10,10,5,12,31,45,31,car
17,56,2,40,20,10,5,23,43,55,43,metro
17,34,3,30,15,10,5,18,30,45,30,bus
17,49,2,65,35,20,15,36,55,70,55,park-and-ride
17,60,3,45,25,15,10,26,41,55,41,park-and-ride
17,48,1,60,32,15,10,35,54,70,54,bus
17,51,1,55,30,15,10,31,42,60,45,metro
17,28,2,50,28,20,15,29,46,60,46,metro
