11,34,1,25,12,3,1,15,25,30,30,bus
11,52,2,25,12,3,1,15,25,30,30,metro
11,50,3,45,12,4,2,15,25,40,30,park and ride
11,44,1,35,16,5,3,25,35,50,40,bus
11,61,1,45,18,5,3,35,45,60,50,bus
11,44,1,25,12,3,1,15,25,40,30,bus
11,27,1,25,16,5,3,15,35,60,40,bus
11,54,2,25,16,5,3,15,35,60,40,park and ride
11,43,3,35,12,4,2,15,25,40,30,car
11,61,1,45,16,5,3,25,35,60,40,metro
11,52,1,25,12,5,3,15,25,50,30,bus
11,37,2,25,12,3,1,15,25,30,30,park and ride
11,52,3,35,16,5,3,25,35,50,40,car
11,46,3,45,18,5,3,35,45,60,50,car
11,65,2,45,18,5,3,35,45,60,50,park and ride
11,61,3,25,12,4,2,15,25,40,30,car
11,38,1,35,16,5,3,25,35,60,40,metro
11,34,2,25,12,3,1,15,25,30,30,park and ride
11,50,2,25,12,4,2,15,25,40,30,metro
11,51,3,45,22,5,3,35,45,60,50,car
12,55,2,25,12,4,2,15,25,40,30,car
12,67,3,35,16,5,3,25,35,50,40,car
12,67,1,25,12,4,2,15,25,40,30,metro
12,43,3,35,16,5,3,25,35,50,40,car
12,62,1,25,12,5,3,15,25,50,30,bus
12,36,2,45,18,5,3,35,45,60,50,metro
12,64,1,45,18,5,3,35,45,60,50,bus
12,56,2,25,12,5,3,15,25,50,30,park and ride
12,33,2,25,12,4,2,15,25,40,30,car
12,65,2,35,16,5,3,25,35,50,40,park and ride
12,36,3,25,12,4,2,15,25,40,30,park and ride
12,63,1,25,12,4,2,15,25,40,30,bus
12,43,1,25,12,3,1,15,25,30,30,metro
12,34,1,45,18,5,3,35,45,60,50,bus
12,51,1,25,12,4,2,15,25,40,30,bus
12,39,2,35,16,5,3,25,35,50,40,metro
12,27,1,25,16,4,2,15,25,40,30,bus
12,26,3,45,18,5,3,35,45,60,50,car
12,52,1,25,12,3,1,15,25,30,30,bus
12,49,2,25,18,5,3,35,45,60,50,car
13,44,2,10,12,4,2,15,25,40,30,car
13,38,1,25,18,5,3,35,45,60,50,bus
13,56,3,35,16,5,3,25,35,50,40,car
13,34,2,10,12,3,1,15,25,30,30,park and ride
13,49,3,35,16,5,3,25,35,60,40,car
13,60,1,25,12,3,1,15,25,30,30,bus
13,48,2,25,12,4,2,15,25,40,30,park and ride
13,51,2,35,16,5,3,25,35,50,40,park and ride
13,28,2,25,12,3,1,15,25,30,30,metro
13,60,2,45,18,5,3,35,45,60,50,park and ride
13,51,3,25,12,4,2,15,25,40,30,car
13,28,2,25,16,5,3,15,25,50,30,metro
13,49,2,10,12,5,3,15,25,50,30,park and ride
13,58,1,35,16,5,3,25,35,60,40,bus
13,33,2,25,12,3,1,15,25,30,30,metro
13,75,2,25,12,4,2,15,25,40,30,park and ride
13,28,3,35,16,5,3,25,35,50,40,car
13,29,1,10,12,3,1,15,25,30,30,metro
13,29,1,35,16,5,3,25,35,50,40,bus
14,56,3,35,12,4,2,15,25,40,30,car
14,55,2,45,18,5,3,35,45,60,50,metro
14,32,3,35,16,5,3,25,35,60,40,car
14,60,3,25,12,4,2,15,25,40,30,car
14,62,2,25,12,3,1,15,25,30,30,park and ride
14,33,1,10,12,4,2,15,25,40,30,bus
14,40,1,35,16,5,3,25,35,50,40,metro
14,50,3,35,16,5,3,25,35,50,40,car
14,45,2,45,18,5,3,35,45,60,50,car
14,48,1,25,12,4,2,15,25,40,30,bus
14,30,2,45,18,5,3,35,45,60,50,metro
14,38,1,25,12,3,1,15,25,30,30,metro
14,68,3,35,16,5,3,25,35,50,40,car
14,59,3,45,18,5,3,35,45,60,50,car
14,62,3,25,12,4,2,15,25,40,30,car
14,25,2,45,18,5,3,35,45,60,50,park and ride
14,58,1,25,12,3,1,15,25,30,30,bus
14,36,1,10,12,4,2,15,25,40,30,metro
14,75,3,25,12,4,2,15,25,40,30,park and ride
14,72,3,25,12,3,1,15,25,30,30,car
14,28,2,35,18,5,3,25,35,50,40,metro
15,46,2,25,12,3,1,15,25,30,30,car
15,44,2,35,18,5,3,25,35,50,40,bus
15,62,2,35,22,5,3,25,45,60,50,park and ride
15,47,2,25,12,4,2,15,25,40,30,park and ride
15,63,2,35,18,5,3,25,35,50,40,metro
15,63,2,25,12,4,2,15,25,40,30,metro
15,56,1,35,16,5,3,25,35,50,40,bus
15,47,1,45,22,4,2,35,45,40,50,bus
15,52,2,45,22,5,3,40,55,60,60,park and ride
15,63,2,25,12,4,2,15,25,40,30,car
15,73,2,45,18,5,3,35,45,50,50,car
15,49,2,45,22,5,3,40,55,60,60,metro
15,62,2,25,12,3,1,15,25,30,30,park and ride
15,57,1,45,22,5,3,40,55,60,60,metro
15,34,3,25,12,3,1,15,25,30,30,car
15,59,2,25,12,4,2,15,25,40,30,metro
15,26,3,35,16,5,3,25,35,50,40,car
15,37,3,45,22,5,3,40,55,60,60,car
15,25,1,35,16,5,3,25,35,50,40,bus
15,33,3,45,18,5,3,35,45,60,50,car
